text,label,notes
She said she herself had no intention of giving up the lucrative trade but felt others should be aware of what could lie ahead of them.,OMITTED_DATA_OUT,"Missing context: who is 'she', what trade, what lies ahead"
"Daniel Graham, 39, and Adam Carruthers, 32, both from Cumbria, deny the charges.",ADEQUATE_DATA_PLUS,"Good details: names, ages, location, clear action"
Chinese Australians are a crucial group that deserted the conservative Liberal-National coalition in the last election.,DATA_PROVEN_FACTUAL_PLUS,Verifiable political fact about election results
"Joe Biden has told the BBC that pressure from the Trump administration on Ukraine to give up territory to Russia is ""modern-day appeasement"" in an exclusive interview, his first since leaving the White House.",CORRECT_SOURCE_PLUS,"Clear attribution to BBC interview, verifiable source"
"As part of its mission, Silo uses a nose to tail and root to tip approach to cooking out of respect for nature.",NEUTRAL,Descriptive statement about restaurant philosophy
"London's Darjeeling Express – the only all-female Indian kitchen in the world – is ground zero for Asma Khan, a champion of women's empowerment in a movement that is now global.",ALTERED_IMPORTANCE_OUT,Claim of 'only all-female Indian kitchen in the world' seems exaggerated
"For more than 750 years, strict rules have guarded what cardinals can and cannot eat to prevent hidden messages stuffed inside chicken, ravioli and napkins.",TIME_NOTED_PLUS,Specific timeframe provided (750 years)
Commemorative events are taking place across the country to mark 80 years since World War Two ended in Europe.,TIME_NOTED_PLUS,Clear time reference (80 years since WWII)
"The Irish government expects domestic economy to expand by 2.5% this year, down from an earlier forecast of 2.9%.",DATA_PROVEN_FACTUAL_PLUS,Specific economic data with comparison to previous forecast
"Donald Trump repeatedly says joining the US would be ""a massive tax cut"" for Canadian citizens.",,
Russia is gearing up to celebrate the 80th anniversary of the end of World War Two in Europe.,"TIME_NOTED_PLUS, DATA_PROVEN_FACTUAL_PLUS, ADEQUATE_DATA_PLUS",
"""I'll let history judge that,"" he said.",OMITTED_DATA_OUT,
"Osman, an Eritrean migrant who did not want to give his real name for security reasons, made the crossing at the same time as Hiyab and her sister.","DATA_PROVEN_FACTUAL_PLUS, ADEQUATE_DATA_PLUS",
A spokesperson for Pakistan's military says several locations have been hit by missiles.,"ADEQUATE_DATA_PLUS, CORRECT_SOURCE_PLUS",
"Like Ms Senait's family, many flee to avoid military conscription in a country that has been embroiled in numerous wars in the region, and where free political and religious activity is not tolerated as the government tries to keep a tight grip on power.","ADEQUATE_DATA_PLUS, DATA_PROVEN_FACTUAL_PLUS",
"""Thank God nothing happened, but we tempt fate if no changes are made.""",,
Ambitious economies like Vietnam and Indonesia are stuck between China and the US as the trade war escalates.,,
"From rare earths to billions in US debt, here's what China has in its arsenal - and how strong they are.",,
Thousands of fans cheer their team's celebrations after the Bantams win promotion.,"DATA_PROVEN_FACTUAL_PLUS, ADEQUATE_DATA_PLUS",
"It also turns the page on decades of missed economic opportunities, given the strong historic connections between the two nations.","ADEQUATE_DATA_PLUS, DATA_PROVEN_FACTUAL_PLUS",
"The baba is often served at Easter in Poland, with the most extraordinary version – the muslin baba – made from a rich dough of flour, yeast, butter and quite a lot of egg yolks.","TIME_NOTED_PLUS, ADEQUATE_DATA_PLUS, DATA_PROVEN_FACTUAL_PLUS",
A female smuggler in Kenya confirmed to the BBC that Lake Turkana was increasingly being used as an illegal crossing for the migrants.,"DATA_PROVEN_FACTUAL_PLUS, ADEQUATE_DATA_PLUS",
"The smuggling network operates in all these countries, handing over migrants to different ""agents"" until they reach their final destination, which - in some cases - can also be Europe or North America.",,
Follow the twists and turns of Trump's second term with North America correspondent Anthony Zurcher's weekly US Politics Unspun newsletter.,"EVENTS_IN_CORRECT_SEQUENCE_PLUS, ADEQUATE_DATA_PLUS, CORRECT_RELATIVE_IMPORTANCE_PLUS, TIME_NOTED_PLUS, DATA_PROVEN_FACTUAL_PLUS",
Hiyab's sister survived by clinging to the sinking boat until another vessel - also operated by the smugglers - came to the rescue.,"DATA_PROVEN_FACTUAL_PLUS, ADEQUATE_DATA_PLUS",
"The UK government sees this as a win-win which helps exporters, creates jobs, and means lower prices for consumers.","DATA_PROVEN_FACTUAL_PLUS, DATA_PROVEN_FACTUAL_PLUS, CORRECT_SOURCE_PLUS, ADEQUATE_DATA_PLUS",
"As Western alliances unravel, Europe is entering an era that seems distant from what VE Day represented, the BBC's Katya Adler writes.","TIME_NOTED_PLUS, DATA_PROVEN_FACTUAL_PLUS, ADEQUATE_DATA_PLUS",
"""May God heal our land and deliver us from all this.""","TIME_NOTED_PLUS, ADEQUATE_DATA_PLUS",
"Inter Milan's stunning 7-6 aggregate win against Barcelona was one of the all-time great Champions League semi-finals, but where does it rank?","DATA_PROVEN_FACTUAL_PLUS, ADEQUATE_DATA_PLUS",
"""I found it sort of beneath America in the way that took place,"" Biden said of the meeting.","OMITTED_DATA_OUT, CORRECT_SOURCE_PLUS",
"""That's 90 seconds of a wholly filled-up sky of planes literally flying blind over one of America's busiest airports,"" said New York Senator Chuck Schumer on Tuesday.","TIME_NOTED_PLUS, ADEQUATE_DATA_PLUS, CORRECT_SOURCE_PLUS",
"For just two weeks each spring, a rare violet artichoke is harvested by hand on Venice's northern islands – and locals go to great lengths to keep it authentic.","TIME_NOTED_PLUS, DATA_PROVEN_FACTUAL_PLUS",
"The pilot is heard calmly responding: ""Alright, we're ready to move.""","ADEQUATE_DATA_PLUS, DATA_PROVEN_FACTUAL_PLUS",
"In June 2024, the UN's refugee agency, UNHCR, recorded 345,000 Eritrean refugees and asylum seekers in East Africa, out of 580,000 globally.","ALTERED_IMPORTANCE_OUT, CONTRARY_FACTS_OUT, FALSEHOOD_OUT",
"The menu at the Icehotel, the world's first hotel made out of ice and snow, is served on plates of ice.",,
"Chinese leader Xi Jinping urged ""all-out efforts"" in the search and rescue mission.","DATA_PROVEN_FACTUAL_PLUS, ADEQUATE_DATA_PLUS",
"""Things moved so quickly that it made it difficult to walk away.","OMITTED_DATA_OUT, EVENTS_IN_CORRECT_SEQUENCE_PLUS",
"The 1999 Kargil conflict saw Pakistani troops infiltrate Indian-administered Kashmir; it was the first clash between the nuclear-armed rivals, sparking global alarm.","TIME_NOTED_PLUS, DATA_PROVEN_FACTUAL_PLUS, ADEQUATE_DATA_PLUS",
Marcel Ciolacu told his colleagues their government had no credibility after presidential elections.,,
"Trump has long resisted continuing the level of US military support that Biden gave to Ukraine, arguing that his ultimate aim is to end the bloodshed.","DATA_PROVEN_FACTUAL_PLUS, ADEQUATE_DATA_PLUS",
"In The Ikaria Way, Greek American chef Diane Kochilas offers a roadmap for people who want to incorporate aspects of the Mediterranean island's ""Blue Zone"" diet into their lives.","DATA_PROVEN_FACTUAL_PLUS, ADEQUATE_DATA_PLUS",
"On Ukraine, Biden was challenged on whether he gave enough support to Kyiv to ensure they could win the war as opposed to just resist Russia's full-scale invasion.","ALTERED_SEQUENCE_OUT, CONTRARY_FACTS_OUT, WRONG_TARGET_OUT",
"In 1971, war flared over East Pakistan, where India supported independence forces, ultimately leading to the creation of Bangladesh.",,
"""But are we going to continue to lose thousands and thousands of soldiers over a few miles of territory this or that way?""",OMITTED_DATA_OUT,
"Known in Mexico as ""fake guacamole"", guacachile is a silky, delicious sauce made with just four ingredients – not including avocados.","OMITTED_DATA_OUT, ASSUMED_IDENTITIES_NOT_IDENTICAL_OUT",
"""I don't understand how they fail to understand that there's strength in alliances,"" Biden said of the Trump administration on Monday.",,
"The pressure to cede land is not just coming from Washington, with the mayor of Kyiv, Vitali Klitschko, telling the BBC last month that Ukraine may have to temporarily give up territory.","TIME_NOTED_PLUS, DATA_PROVEN_FACTUAL_PLUS, ADEQUATE_DATA_PLUS",
The famed chef and author tells the BBC's Katty Kay that it was finding academia too “esoteric” that led him to seek out a simpler path: to help the world simplify its food.,"DATA_PROVEN_FACTUAL_PLUS, ADEQUATE_DATA_PLUS",
First Minister Eluned Morgan takes questions in the Senedd.,"FALSEHOOD_OUT, OMITTED_DATA_OUT, CONTRARY_FACTS_OUT, ADDED_INAPPLICABLE_DATA_OUT",
"Plump, spicy and juicy, these chorizo dumplings from the cookbook, Double Awesome Chinese Food, are accompanied by a white bean puree and coriander-infused oil.","DATA_PROVEN_FACTUAL_PLUS, ADEQUATE_DATA_PLUS",
"The annual celebration to honour the patron Saint of Wales includes cawl, an easy and succulent lamb stew with potatoes and vegetables.","DATA_PROVEN_FACTUAL_PLUS, ADEQUATE_DATA_PLUS",
The White House has not publicly confirmed the details.,DATA_PROVEN_FACTUAL_PLUS,
"Mangal 2, a fixture on the London food scene, is redefining Turkish cuisine in a city constantly evolving.","EVENTS_IN_CORRECT_SEQUENCE_PLUS, ADEQUATE_DATA_PLUS, CORRECT_RELATIVE_IMPORTANCE_PLUS",
A new initiative aims to boost the local economy by attracting elderly travellers to remote parts of the country.,,
"The Federal Aviation Administration also acknowledged in a statement that ""our antiquated air traffic control system is affecting our work force"".","DATA_PROVEN_FACTUAL_PLUS, ADEQUATE_DATA_PLUS",
"""I'd like to advise migrants if they'll listen to me.",,
"This year’s theme for the Metropolitan Museum of Art's fundraiser in New York city is ""Superfine: Tailoring Black Style"".","OMITTED_DATA_OUT, ASSUMED_IDENTITIES_NOT_IDENTICAL_OUT, CONTRARY_FACTS_OUT, ADDED_INAPPLICABLE_DATA_OUT",
"Now, a farmer is reviving this ancient ""superfood"".",,
BBC South East takes a closer look at the impact roadworks are having on residents and businesses.,"OMITTED_DATA_OUT, ALTERED_IMPORTANCE_OUT, NEUTRAL",
"""Hiyab was in the boat in front of us - its motor wasn't working and it was being propelled by a strong wind,"" he said.",OMITTED_DATA_OUT,
Deniseea Taylor is a mixologist who teaches what she jokingly calls 'drunk Black History'.,"FALSEHOOD_OUT, ADEQUATE_DATA_PLUS, TIME_NOTED_PLUS",
She said the agents simply disposed of the bodies and called their deaths bad luck.,,
"Five Eritrean men were locked inside the room, which had just a single mattress.",,
